Release,Date,Bases,Sequences,,
198,10/1/2013,1.55176E+11,168335396,,
199,12/1/2013,1.56231E+11,169331407,,
200,2/1/2014,1.57944E+11,171123749,,
201,4/1/2014,1.59813E+11,171744486,,
202,6/1/2014,1.61823E+11,173353076,,
203,8/1/2014,1.65723E+11,174108750,,
204,10/1/2014,1.81564E+11,178322253,,
205,12/1/2014,1.84938E+11,179295769,,
206,2/1/2015,1.87894E+11,181336445,,
207,4/1/2015,1.89739E+11,182188746,,
208,6/1/2015,1.93921E+11,185019352,,
209,8/1/2015,1.99824E+11,187066846,,
210,10/1/2015,2.02237E+11,188372017,,
211,12/1/2015,2.03939E+11,189232925,,
212,2/1/2016,2.07018E+11,190250235,,
213,4/1/2016,2.11424E+11,193739511,,
214,6/1/2016,2.13201E+11,194463572,,
215,8/1/2016,2.17971E+11,196120831,,
216,10/1/2016,2.20731E+11,197390691,,
217,12/1/2016,2.24973E+11,198565475,,
218,2/1/2017,2.28719E+11,199341377,,
219,4/1/2017,2.31825E+11,200877884,,
220,6/1/2017,2.34997E+11,201663568,,
221,8/1/2017,2.40343E+11,203180606,,
222,10/1/2017,2.44915E+11,203953682,,
223,12/1/2017,2.49722E+11,206293625,,
224,2/1/2018,2.53631E+11,207040555,,
225,4/1/2018,2.60189E+11,208452303,,
226,6/1/2018,2.63958E+11,209775348,,
227,8/1/2018,2.60807E+11,208831050,,
